unixtime,numgc,nproc,mark,sweep,cleanup,heap0,heap1,obj0,obj1,nmalloc,nfree,nhandoff,nhandoffcnt,nsteal,nstealcnt,nprocyield,nosyield,nsleep
1389037162.396566,1,1,0,0,0,0,0,16,18,19,1,0,0,0,0,0,0,0
1389037162.396682,2,1,0,0,0,0,0,36,36,37,1,0,0,0,0,0,0,0
1389037162.397251,3,1,0,0,0,0,0,563,437,564,127,0,0,0,0,0,0,0
1389037162.402771,4,1,1,0,0,0,0,547,493,678,185,0,0,0,0,0,0,0
1389037162.405568,5,2,1,0,0,1,1,1058,1057,1243,186,0,0,6,75,16,14,3
1389037162.414474,6,2,1,0,0,2,2,7343,5487,7678,2191,1,4,7,244,16,14,3
1389037162.487069,7,2,3,0,1,5,3,48688,9682,55439,45757,0,0,9,597,16,5,2
1389037162.594434,8,2,3,0,0,7,4,94266,10113,149107,138994,0,0,9,881,22,4,0
1389037162.698097,9,2,1,2,0,8,4,98633,10432,247114,236682,0,0,2,328,15,5,25
1389037162.798353,10,2,0,2,2,8,4,99362,9766,345602,335836,0,0,9,551,16,14,2
1389037162.902697,11,2,3,0,0,8,4,97304,9908,442659,432751,0,0,4,806,22,4,0
1389037163.014085,12,2,1,0,0,8,4,86093,10422,526881,516459,0,0,2,298,22,4,0
1389037163.146491,13,2,1,0,1,8,4,95651,11579,621155,609576,0,0,3,217,15,2,0
1389037163.256521,14,2,2,0,0,8,4,107122,10895,726977,716082,4,162,3,163,42,13,1
1389037163.375471,15,2,1,1,0,8,4,104968,11681,831098,819417,0,0,4,157,14,3,0
1389037163.511947,16,2,2,1,0,8,4,106204,11242,935865,924623,3,158,2,171,32,13,1
1389037163.626172,17,2,2,0,0,8,4,99414,11433,1033379,1021946,3,103,2,184,22,13,1
