numgc,nproc,stw,sweep,mark,wait,heap0,heap1,obj,nmalloc,nfree,nspan,nbgsweep,npausesweep,nhandoff,nhandoffcnt,nsteal,nstealcnt,nprocyield,nosyield,nsleep
1,1,5,0,186,0,0,0,18,19,1,0,0,0,0,0,0,0,0,0,0
2,1,4,1,316,1,0,0,208,209,1,12,0,0,0,0,0,0,0,0,0
3,1,1,0,360,1,0,0,565,616,51,33,0,0,0,0,0,0,0,0,0
4,2,755,4,10745,2,0,0,2361,2608,247,52,8,0,1,2,6,114,16,10,14
5,2,2463,2,3395,13,0,1,6298,6676,378,90,0,0,0,0,7,163,16,1,0
6,1,21,14,2858,1,1,3,15684,18565,2881,188,1,0,0,0,0,0,0,0,0
7,2,6,6,1621,2,1,2,14259,28924,14665,376,1,0,0,0,1,17,16,10,1
8,2,5,9,1668,1,1,2,14536,39712,25176,376,1,0,1,2,2,20,19,4,0
9,2,1,7,3114,1,1,2,13972,49530,35558,376,0,0,0,0,7,220,16,1,0
10,2,1,3185,12,17,1,3,17867,62532,44665,376,0,0,0,0,7,220,16,1,0
11,2,24,5,1418,1,1,3,19292,77210,57918,484,6,0,0,0,1,3,13,0,0
12,2,2,2844,1,154,1,3,18071,90905,72834,492,7,0,0,0,7,226,16,10,1
13,2,1,6,1614,197,2,4,20139,106514,86375,492,324,0,0,0,1,13,16,10,1
14,2,1,11,1424,1,1,3,20220,122275,102055,510,5,0,0,0,1,9,16,1,0
15,2,2,728,2689,14,1,3,13151,131182,118031,510,19,0,0,0,6,110,16,1,0
16,2,1,6,3139,0,1,3,19185,146019,126834,510,1,0,0,0,7,200,16,1,0
17,2,1,3002,11,146,2,4,20707,162326,141619,510,116,0,1,2,7,226,16,10,1
18,2,7,9,1556,0,1,3,18397,176360,157963,521,0,0,0,0,1,14,9,0,0
19,2,25,13,2838,1,1,3,18824,190832,172008,521,1,0,0,0,4,201,10,0,0
20,2,1,3096,1,10,1,3,20750,207181,186431,521,220,0,0,0,7,226,16,1,0
21,2,22,6,1507,1,1,2,13110,216008,202898,521,0,0,0,0,2,10,16,1,0
22,2,1,8,1489,3,2,4,22996,234352,211356,521,0,0,0,0,1,17,16,2,0
23,2,26,12,2977,0,1,2,14263,244449,230186,530,0,0,0,0,7,226,16,1,0
24,2,387,12,2922,1,1,3,15233,255229,239996,530,318,0,0,0,7,226,16,1,0
25,2,23,3,1651,3,1,3,19409,270531,251122,530,325,0,0,0,1,10,16,3,0
26,2,1,9,2966,1,1,3,19337,285609,266272,530,0,0,0,0,7,226,16,1,0
27,2,6,8,1467,1,1,3,15285,296608,281323,530,0,0,0,0,2,8,16,3,0
28,2,1,9,3202,155,2,4,19410,311365,291955,530,26,0,0,0,5,179,16,10,1
29,2,38,3,3029,1,2,4,21803,328933,307130,530,1,0,0,0,5,200,16,1,0
30,2,1,6,1566,1,1,3,16477,341418,324941,530,1,0,0,0,1,6,16,3,0
31,2,22,5,1562,12,1,3,14961,352221,337260,530,0,0,0,0,2,18,16,1,0
32,2,22,3017,9,9,1,3,18412,366153,347741,530,151,0,0,0,7,226,16,1,0
33,2,1,3,1415,8306,2,4,19810,381458,361648,530,1,0,0,0,2,7,16,1,0
34,2,27,2,2723,39,1,3,19989,397392,377403,530,1,0,1,2,5,33,16,1,0
35,2,22,2,1527,0,1,3,14556,407844,393288,530,40,0,0,0,1,11,16,1,0
36,2,27,3497,3112,1,2,4,19109,422384,403275,530,4,0,0,0,7,228,16,1,0
37,2,36,2,2912,16,2,5,23537,441072,417535,530,325,0,0,0,6,109,16,1,0
38,2,1,2966,11,138,2,4,20205,457045,436840,623,85,0,0,0,7,228,16,10,1
39,2,5,11,2948,17,1,3,18764,471873,453109,623,0,0,4,157,7,226,16,1,0
40,2,1,2903,7,150,1,2,12273,480002,467729,623,3,0,0,0,7,228,16,10,1
41,2,1,8,1427,0,2,4,21565,497538,475973,623,2,0,1,2,2,11,16,1,0
42,2,1,13,1496,5,1,3,13803,507172,493369,623,444,0,1,2,1,5,16,1,0
43,2,1,2696,9,269,1,3,19486,522162,502676,623,2,0,0,0,7,228,16,10,1
44,2,2429,6,3163,1,1,3,17328,535593,518265,623,67,0,0,0,7,206,16,1,0
45,2,32,7,3161,1,1,3,15952,547712,531760,623,71,0,0,0,7,228,16,1,0
46,2,5,10,1595,1,1,3,14450,558023,543573,623,1,0,0,0,1,1,13,0,0
47,2,1,44,2947,17,1,3,19548,573284,553736,623,31,0,0,0,5,32,16,1,0
48,2,7,6202,21,87,1,3,16922,585842,568920,623,354,0,0,0,7,228,16,10,21
49,2,1,11,2643,1,2,4,22039,603368,581329,623,196,0,1,2,2,149,26,13,0
50,2,2548,3,3182,1,2,4,21788,620957,599169,623,192,0,0,0,7,228,16,1,0
51,2,2,2518,11,136,1,3,17230,634158,616928,623,3,0,0,0,7,228,16,10,1
52,2,90,2,3032,1,1,2,12657,642955,630298,623,1,0,0,0,7,228,16,1,0
53,2,1,14,1564,1,1,3,18793,657481,638688,623,2,0,0,0,2,27,10,0,0
54,2,1,2363,7,165,1,3,18339,671714,653375,623,1,0,0,0,7,228,16,10,1
55,2,1,3119,16,157,1,3,15393,683183,667790,623,121,0,0,0,7,228,16,10,1
56,2,2770,2,2773,1,1,3,18704,697697,678993,623,0,0,1,2,7,228,16,1,0
57,2,1,4671,4,146,2,4,21387,714750,693363,623,196,0,0,0,7,228,16,10,1
